break	跳出当前循环
case	开关语句分支
char	声明字符型变量或函数
const	声明只读变量
continue	结束当前循环，开始下一轮循环
default	开关语句中的“其他”分支
do	循环语句的循环体
double	声明双精度变量或函数
else	条件语句否定分支（与 if 连用）
enum	声明枚举类型
extern	声明变量是在其他文件正声明
float	声明浮点型变量或函数
for	一种循环语句
goto	无条件跳转语句
if	条件语句
int	声明整型变量或函数
long	声明长整型变量或函数
return	子程序返回语句（可以带参数，也可不带参数）循环条件
short	声明短整型变量或函数
signed	声明有符号类型变量或函数
sizeof	计算变量所占内存大小
static	声明静态变量
struct	声明结构体变量或函数
switch	用于开关语句
typedef	用以给数据类型取别名
unsigned	声明无符号类型变量或函数
union	声明共用数据类型
void	声明函数无返回值或无参数，声明无类型指针
volatile	说明变量在程序执行中可被隐含地改变
while	循环语句的循环条件
